Run,N_estagios,pos_alimentacao,razao_refluxo,corte_pct,pressao,z_propeno,F_alimentacao,pureza_topo,pureza_fundo,recuperacao,grau_produto,Q_refervedor,Q_condensador,T_condensador,T_refervedor,precisa_refrig,diametro,altura_total,n_cascos,alfa_topo,alfa_fundo,N_min,R_min,R_sobre_Rmin,CAPEX,CAPEX_anual,OPEX,custo_total,lucro,convergiu,Solved
1,260,0.4362570044555701,8.408643657818436,99.72051540218969,17.52739549927972,0.6994335403127828,1000,90.3591143465043,77.126257517319,90.10657453918802,0,22.73036910416496,22.73036910416496,42.42004059579529,50.85540676831801,0,3.304046710741749,187,4,1.087363147320144,1.160196542452946,29.72503987896314,8.389734870838581,1.002253800301316,36.09801561258618,4.745942450726032,6.29055388168064,11.03649633240667,-79.33592713011575,1,1
2,250,0.5713546113365329,17.95608972944319,97.79148679052913,20.76673783815838,0.8529428201429313,1000,99.50582249765796,86.16029367838169,97.30822326360456,2,51.25938772634623,51.25938772634623,50.30553580316041,58.90908061496924,0,5.001965832638207,179.8,3,1.065124163869041,1.15745394937273,68.16305626903065,13.6813138524338,1.312453608119585,48.18350039814321,6.334866780998088,14.18586468864056,20.52073146963865,80.19190456560847,1,1
3,230,0.4567015541451052,17.9219482238926,99.48465535461131,18.60708931566961,0.7147585618466372,1000,99.09006090430714,96.48565424755441,98.57940558132441,1,45.60578609119898,45.60578609119898,45.15407411576138,53.64930679379694,0,4.688724256788031,166,3,1.072909654875882,1.173532144584908,69.47232700996162,12.73292424522253,1.407528064938972,45.50665627885242,5.982931974496177,12.62124928145235,18.60418125594853,8.938270330966223,1,1
4,230,0.5284700608736835,12.77514322942123,99.71765768224498,20.06417208889313,0.8575798018727918,1000,98.08447912571529,87.01887998151295,97.80754513399381,1,38.7546619697919,38.7546619697919,48.67259908984374,57.24244495195973,0,4.338875560650989,166,3,1.069270766700996,1.160570241000364,54.08785020358319,11.82098603368014,1.080717225536221,39.64149299883712,5.211816806011438,10.72522351793334,15.93704032394478,31.53276448405081,1,1
5,140,0.3154307821659371,20.87383944858983,99.63530816619576,17.15644008537941,0.670073156848806,1000,97.33179399507625,93.90516651470377,96.97683289068104,1,50.95792388940728,50.95792388940728,41.45336113536348,49.86716450885962,0,4.944959255849657,102.4,2,1.079991050119484,1.176258369799058,52.919298001386,11.73729911455146,1.778419314773297,42.03606481765782,5.526640207059859,14.10243557664717,19.62907578370702,1.992060465665877,1,1
6,220,0.4425843279291876,23.67090724333748,98.34932656771511,14.3009554352928,0.6005394252848345,1000,99.79708703622234,97.28575447313101,98.14976303432121,2,53.77383228329832,53.77383228329832,33.46678053348757,41.69451669241079,1,5.082643135698055,158.8,3,1.086502097708084,1.188674079553977,76.44395899034642,12.41380527127623,1.906821214451348,47.9079936986724,6.298644874660887,19.76009090303602,26.05873577769691,24.63092693629527,1,1
7,120,0.6294371628565714,8.283379850484431,98.75873157454093,15.06024588580616,0.657770453591086,1000,89.48477184189936,78.17537649661803,88.37402562343178,0,21.9280524668145,21.9280524668145,35.69357014772618,43.97460619198097,1,3.242869352518784,88,2,1.0967277601203,1.169460860516069,27.46098236191379,8.152027623402542,1.016112828997881,20.20521574067334,2.656456026250507,8.057828346472101,10.71428437272261,-79.14837026671617,1,1
8,120,0.5177414328450336,20.40131642172113,99.4419700211773,15.25496234015934,0.8283066444915254,1000,99.35529573334227,94.36661832828676,98.80086339760226,1,63.85487045557296,63.85487045557296,36.2517046162655,44.5459276854848,1,5.533097947296636,88,2,1.083849544982332,1.183040423553854,63.20134182201105,11.12443074042516,1.833920035798741,37.43386455066307,4.921571555965986,23.46453639674121,28.38610795270719,14.67935772661097,1,1
9,210,0.5577956650737672,16.68154044958949,98.32798616919517,16.98995027035289,0.7962853935243096,1000,99.52208960194659,92.14117266226847,97.85806649909607,2,48.46746139805229,48.46746139805229,41.01470580345699,49.4186563025637,0,4.821850941081757,151.6,3,1.077805040273258,1.17532741366523,65.97272581899306,11.99233346920019,1.391017060393839,52.18520429930943,6.860985906869342,13.41320838370631,20.27419429057565,69.9233751434617,1,1
10,200,0.5353902940949424,20.97997260412574,98.49098128325329,19.42744408622757,0.8051510788647691,1000,99.57932930946318,92.51889190919155,98.07665859217252,2,58.10127984600548,58.10127984600548,47.15782261175121,55.69588165181671,0,5.302697188652114,145,3,1.069535746606527,1.167450688885006,71.89366451868487,13.07055232025128,1.60513282760207,47.00551698918972,6.179992853112311,16.0793355264492,22.25932837956151,69.9888190776433,1,1
11,210,0.4125959319006651,19.02492464777827,99.2393161398445,14.47181732760742,0.7748845843124204,1000,99.64748517066816,96.27495243778024,98.88948283392405,2,56.63945045584973,56.63945045584973,33.97508287402184,42.2150825085269,1,5.215047044776924,151.6,3,1.086115769949503,1.18726460305422,69.97904540876448,11.22127542791785,1.695433355146547,48.08579075561065,6.322020525256018,20.81311006084292,27.13513058609893,60.15928930049402,1,1
12,210,0.513863985268399,16.3345002458021,98.87789866673607,20.13915462020599,0.6609017831639852,1000,97.98934513547648,94.06796853196406,96.8898053872547,1,37.20937932246684,37.20937932246684,48.84876087873118,57.42227051937618,0,4.252508089396646,151.6,3,1.069137727710733,1.166364295572826,60.25125183658757,13.2349171280146,1.234197395254297,36.66022479734634,4.819858215647222,10.29757169622829,15.11742991187551,4.539320641751621,1,1
13,260,0.3300868459936231,21.88558004591614,98.74736977401727,19.6824716414921,0.8181152673186036,1000,99.40378234453459,92.15926945871112,98.15862052111687,1,61.30705485439913,61.30705485439913,47.76864112337506,56.319578851426,0,5.450911684261285,187,4,1.068898870921985,1.166287839424744,68.77165709821899,13.04196010663077,1.678089786119582,57.90363509856233,7.612809601916195,16.96652307410545,24.57933267602164,16.32013093009569,1,1
14,110,0.5238735211316495,17.39579143382981,99.04647799739537,17.66769213497825,0.796500562121789,1000,98.23066083561012,89.78976121041381,97.29400987123864,1,50.12762156347759,50.12762156347759,42.7818847952766,51.22526910372,0,4.907541373996163,81.39999999999999,2,1.077147012726565,1.171036264453127,53.32179496579634,11.40412794692365,1.525394270810725,35.04603022323857,4.60763395835817,13.87265217562054,18.48028613397871,19.85512411194385,1,1
15,170,0.5011241797595285,22.49276284031198,99.89179401035263,20.36196892191097,0.7196865105764475,1000,99.01164742915931,97.19519560842835,98.90451089619243,1,55.22002595889738,55.22002595889738,49.36954702558415,57.95384781104002,0,5.184245340756814,123.4,3,1.067106484070618,1.168216308572064,73.96800903062621,13.41813864240186,1.676295307400829,40.68032868242677,5.348396456898342,15.28195811737166,20.63035457427,7.986845395695966,1,1
16,260,0.6974472213746048,16.29536243629828,98.93153427812223,17.18742220436223,0.729989152964484,1000,99.74888050945768,96.53964075553512,98.6830979132573,2,43.55771290856775,43.55771290856775,41.53465880691283,49.95028357385945,0,4.571967510058192,187,4,1.076855589240916,1.178351149268576,78.20799026243306,12.42658626100182,1.311330569316352,54.32284788930412,7.142029983285027,12.05445185506976,19.19648183835479,58.49114509239734,1,1
17,180,0.6964546004611067,12.65720698609203,97.47067533293615,20.91835271302611,0.8135432038332335,1000,97.09903637226273,78.94992256268564,94.6430864938178,1,34.99704058688333,34.99704058688333,50.65285638731041,59.26349296573608,0,4.135361145350074,130.6,3,1.067630474877301,1.150470717095616,47.00676773535571,11.80103393128798,1.072550681558002,31.98092828789511,4.204653430373771,9.685314325618005,13.88996775599178,25.1057366053764,1,1
18,180,0.6501322237265296,11.19818883357942,97.83511388139529,15.66361861541495,0.8796899087903089,1000,98.66004437517338,78.05841835448041,96.52416676988599,1,37.72604060780655,37.72604060780655,37.40682601086547,45.72812176098654,1,4.252247040123744,130.6,3,1.083348374131173,1.167324149256461,47.43452433675197,10.35198400092895,1.081743251590665,35.12999739792679,4.618673439948992,13.86306238868198,18.48173582863097,29.7670637008207,1,1
19,110,0.3020696814965457,18.35567227867246,97.31432823074127,16.92723800788447,0.6125844189391472,1000,94.45491027437473,87.74150602161728,91.91816141445716,1,40.44589147934006,40.44589147934006,40.84868956228991,49.24889997201069,0,4.40456116837971,81.39999999999999,2,1.084340892638991,1.17175111614952,40.11653108509826,11.20638330397974,1.63796577189661,35.26553033793166,4.636492467464081,11.1932656472691,15.82975811473318,-3.923404701415677,1,1
20,200,0.5799494342819786,18.91867441151291,98.80487378326556,15.37604942765087,0.8091889119603904,1000,99.83925493041987,94.53516062702045,98.64604982015412,2,57.55110687895862,57.55110687895862,36.59624030276791,44.89856923405353,1,5.252543277233672,145,3,1.082833471237434,1.182774426066431,75.02409625894899,11.55574347126737,1.637166354423928,47.36530283082912,6.227295256583243,21.14811340778799,27.37540866437124,66.18221156462174,1,1
21,180,0.437639882430993,22.45891162438691,99.31232589985852,14.51114736628346,0.6169461333880434,1000,99.49891630301768,98.11185037164051,98.81468802568038,1,52.82661629521722,52.82661629521722,34.09148084864455,42.3342806746644,1,5.036195882334892,130.6,3,1.086170400692203,1.188645613341747,72.34935148732998,12.20853590028021,1.839607288526009,42.57915157921197,5.598041874778914,19.41202060128249,25.0100624760614,-11.05203722358155,1,1
22,160,0.6958124412604607,22.0927298880741,97.63333946792238,15.4316746760048,0.711188498637965,1000,99.83809252449082,94.12529052087206,97.47526379273457,2,57.88296506198338,57.88296506198338,36.75386825061736,45.05989690883018,1,5.267529736133535,116.8,2,1.082647866975186,1.182243683347828,74.53291889836674,11.92503460129661,1.85263444733921,40.52980648772306,5.32860673545527,21.27006022811016,26.59866696356543,45.39981533794378,1,1
23,110,0.5707023906398565,21.84564396186918,99.34321205120213,18.09364824589156,0.8299593322821893,1000,99.00199752266904,92.20494042461394,98.351764333871,1,64.51036078178392,64.51036078178392,43.86823846691129,52.33552138512169,0,5.570967627768663,81.39999999999999,2,1.074746965433535,1.171669847389008,61.32058091684576,11.96144450283557,1.826338278515648,38.78741776431676,5.099528309183078,17.85302731182276,22.95255562100583,20.24804687324455,1,1
24,230,0.5185113893788308,18.15229291670769,98.05883505307017,15.51847522559576,0.6139879603575915,1000,99.60063092566106,96.40062872629566,97.66721839121118,2,41.55493862382469,41.55493862382469,36.9990353460181,45.31080744194111,1,4.463010192248817,166,3,1.082654810393645,1.183848780007613,70.96900030151969,12.59909019667519,1.440762200551429,42.40612624352363,5.575293580398762,15.27005477963478,20.84534836003354,32.21076858780184,1,1
25,180,0.5516116957315244,10.07609310689196,99.19423845692077,16.74953171342611,0.6878129962261766,1000,93.67378993554709,84.67121359825094,92.91900256030161,1,26.58230870351675,26.58230870351675,40.37588210994306,48.76540746982846,0,3.570289992891612,130.6,3,1.085904821988776,1.16964812772072,36.83693606089157,9.840597621234741,1.023931014631576,34.8277141944879,4.578931125503266,7.356565326002582,11.93549645150585,11.878379007438,1,1
26,180,0.6645995780380443,13.70046352453157,98.54253014820328,18.07927414728515,0.7931520857371157,1000,98.52009624915902,89.41120383441333,97.08419554836642,1,39.36112956116657,39.36112956116657,43.83187385466556,52.29836101270075,0,4.351499125239934,130.6,3,1.075400060296079,1.169325599140674,55.27003683391773,11.78020212548109,1.163007508580594,37.84058701165296,4.975044894057254,10.89306140228765,15.8681062963449,21.45619940230966,1,1
27,150,0.3768279987640679,12.88413873252273,98.25483660007133,18.55153256583214,0.695699541782937,1000,94.82744776340188,84.98979945326141,93.17255385194851,1,32.20482885713215,32.20482885713215,45.01615215074543,53.50840436733574,0,3.939623529326663,109.6,2,1.078416709230922,1.163870419336529,40.85893566498393,10.82898486866891,1.189782688661789,28.71066623728616,3.774699727168769,8.912579036781796,12.68727876395057,11.27501887842395,1,1
28,150,0.53151677152263,12.84186800117046,99.00306229124678,15.61448496532254,0.7165680546251592,1000,97.41274330462883,91.2248798396117,96.44159893349402,1,35.32157502756736,35.32157502756736,37.26908281246352,45.58716579196391,1,4.11455927653495,109.6,2,1.085075483516646,1.179172442349518,48.44362029374364,10.84444482643626,1.184188605936279,29.54353430996325,3.884200038332533,12.97950143679675,16.86370147512929,10.53913168834682,1,1
29,230,0.3469905024045147,20.17278613929078,99.26358131901463,17.32285036331043,0.7854021084141685,1000,99.36963549698872,95.14556666611976,98.63785893796184,1,57.40850075575673,57.40850075575673,41.88881663387338,50.31235889108154,0,5.249556912618179,166,3,1.076877209667363,1.176737566747749,67.86688069913494,12.05992864885919,1.67271189794303,56.95043508565837,7.487488796090621,15.88761122248649,23.37510001857711,13.61536301002581,1,1
30,150,0.3156942559882067,15.81773262123018,98.76661314353359,18.6788351091221,0.7998013063083635,1000,97.25536473853793,84.98285103925566,96.05582985264432,1,44.96429849969586,44.96429849969586,45.33175913045528,53.83082534251758,0,4.656346577675501,109.6,2,1.074966725873505,1.163436146649298,47.40025177605077,11.10514068769527,1.424361299515689,34.54570061609997,4.541853735219082,12.44371972879583,16.98557346401491,21.54924074163369,1,1
