N,pos,R,corte,P,lucro,pureza_nom,pureza_pior,Q,cascos,recuperacao,altura,aprox,precisa_refrig
310.000000,0.738438,15.974309,99.676930,18.658357,63.882238,99.726640,99.565592,42.967113,4.000000,99.404453,222.400000,5.281092,0.000000
250.000000,0.728239,17.700071,99.942112,18.768191,63.820036,99.742756,99.596617,47.355984,3.000000,99.685018,179.800000,5.552389,0.000000
290.000000,0.732184,16.664607,99.839046,18.619821,63.719756,99.766167,99.630426,44.822127,4.000000,99.605590,208.000000,5.185641,0.000000
290.000000,0.695704,17.374536,99.922708,18.908287,63.340999,99.782378,99.658995,46.390455,4.000000,99.705255,208.000000,5.896824,0.000000
280.000000,0.747489,17.603498,99.869206,19.121044,63.313760,99.795759,99.683246,46.740486,4.000000,99.665232,201.400000,6.416493,0.000000
320.000000,0.738338,16.702559,99.807775,18.686720,63.240695,99.827327,99.729737,44.843599,4.000000,99.635435,229.600000,5.351257,0.000000
290.000000,0.735524,17.833161,99.922236,18.837412,62.873885,99.849831,99.766099,47.616622,4.000000,99.772183,208.000000,5.722796,0.000000
310.000000,0.736223,17.698355,99.885674,18.959756,62.717038,99.866211,99.792666,47.141155,4.000000,99.752038,222.400000,6.022914,0.000000
310.000000,0.728160,18.586411,99.927594,19.386454,62.192015,99.886387,99.825799,48.972370,4.000000,99.814063,222.400000,7.059125,0.000000
320.000000,0.719347,18.304100,99.883646,18.684982,61.835325,99.917359,99.871052,48.939470,4.000000,99.801102,229.600000,5.346961,0.000000
320.000000,0.749505,18.483398,99.563514,19.007151,61.434055,99.922762,99.880674,48.914736,4.000000,99.486613,229.600000,6.138811,0.000000
280.000000,0.749214,19.679617,99.858447,18.595853,61.087850,99.933643,99.895988,52.508049,4.000000,99.792184,201.400000,5.126202,0.000000
310.000000,0.743623,19.808628,99.760288,19.513526,60.928081,99.934130,99.898996,51.805991,4.000000,99.694576,222.400000,7.364622,0.000000
300.000000,0.724947,19.922278,99.908101,19.001798,60.882907,99.938358,99.904068,52.714707,4.000000,99.846516,215.200000,6.125732,0.000000
310.000000,0.705558,20.210261,99.608936,19.211890,60.191949,99.942324,99.910316,53.052526,4.000000,99.551485,222.400000,6.637156,0.000000
320.000000,0.734870,19.844922,99.734199,18.656089,60.184290,99.964063,99.943627,52.797546,4.000000,99.698358,229.600000,5.275478,0.000000
300.000000,0.727329,21.015398,99.768588,18.688049,59.499939,99.967444,99.948664,55.745358,4.000000,99.736108,215.200000,5.354544,0.000000
320.000000,0.748589,21.133645,99.816246,19.037066,59.355863,99.976349,99.963086,55.675541,4.000000,99.792639,229.600000,6.211860,0.000000
310.000000,0.718751,21.598187,99.600864,18.571528,58.500249,99.978753,99.966270,57.259673,4.000000,99.579702,222.400000,5.065824,0.000000
320.000000,0.723608,18.786108,99.557562,16.549148,55.504650,99.982222,99.970826,52.175013,4.000000,99.539863,229.600000,10.000000,1.000000
310.000000,0.741051,19.254181,99.577181,16.580188,55.141745,99.984907,99.975233,53.387137,4.000000,99.562152,222.400000,10.000000,1.000000
320.000000,0.682935,20.413263,99.747103,16.555412,53.799245,99.988653,99.981269,56.566258,4.000000,99.735784,229.600000,10.000000,1.000000
300.000000,0.727856,21.457263,99.731200,16.556222,52.873459,99.992338,99.987341,59.313728,4.000000,99.723558,215.200000,10.000000,1.000000
