N,pos_alimentacao,razao_refluxo,corte_pct,pressao,lucro,pureza_nominal,pureza_pior_caso,Q_refervedor,n_cascos,recuperacao,altura,aprox_condensador,topsis_entropia,vikor_entropia
300,0.6839,14.7678,99.7057,16.5567,60.8657,99.7195,99.5190,41.6347,4,99.4261,215.20,10.000,0.118663,0.973025
250,0.7188,15.3705,99.9338,16.5778,61.3740,99.7015,99.4950,43.3070,3,99.6355,179.80,10.000,0.985608,0.000000
280,0.7374,15.9359,99.9368,16.6040,60.0428,99.8493,99.7495,44.7808,4,99.7862,201.40,10.000,0.097029,0.968103
290,0.6532,17.3989,99.8991,16.5496,58.0765,99.9080,99.8482,48.6829,4,99.8071,208.00,10.000,0.068284,0.981680
310,0.7282,18.5864,99.9276,19.3865,62.1920,99.8864,99.8258,48.9724,4,99.8141,222.40,7.059,0.068716,0.966594
300,0.6986,19.2897,99.9154,19.0662,61.5087,99.9075,99.8562,51.0576,4,99.8230,215.20,6.283,0.053045,0.974106
300,0.7249,19.9223,99.9081,19.0018,60.8829,99.9384,99.9041,52.7147,4,99.8465,215.20,6.126,0.040301,0.978460
280,0.7074,20.4260,99.9459,19.3762,61.0135,99.9095,99.8600,53.5930,4,99.8554,201.40,7.035,0.034267,0.984526
270,0.7184,19.3142,99.8946,16.5838,56.1110,99.9621,99.9378,53.7121,4,99.8567,194.20,10.000,0.028935,0.999817
310,0.6342,21.1459,99.9408,19.4908,59.9518,99.9264,99.8852,55.2609,4,99.8673,222.40,7.310,0.021090,0.992698
310,0.6417,21.9359,99.9273,19.5105,59.2367,99.9449,99.9139,57.2014,4,99.8723,222.40,7.357,0.011122,1.000000
