N,pos,R,corte,P,lucro,pureza_nom,pureza_pior,Q,cascos,recuperacao,altura,aprox,precisa_refrig
270.000000,0.749909,19.376459,99.576471,20.915152,62.391521,99.747791,99.625142,49.180270,4.000000,99.325330,194.200000,10.645542,0.000000
280.000000,0.650196,19.234488,99.907158,19.418435,62.055291,99.818815,99.717881,50.549283,4.000000,99.726141,201.400000,7.136143,0.000000
210.000000,0.742806,18.023631,99.622567,16.518414,58.424318,99.830762,99.721581,50.227574,3.000000,99.453968,151.600000,10.000000,1.000000
290.000000,0.659587,20.453792,99.905895,20.697159,61.489916,99.818344,99.725154,52.191041,4.000000,99.724410,208.000000,10.145552,0.000000
310.000000,0.579598,20.284618,99.808838,19.233460,60.406374,99.877763,99.808058,53.321853,4.000000,99.686834,222.400000,6.689442,0.000000
240.000000,0.748450,18.687118,99.597688,18.618645,62.518739,99.820982,99.718698,49.834463,3.000000,99.419390,173.200000,5.182724,0.000000
310.000000,0.631606,20.889712,99.601615,19.816497,59.919926,99.904268,99.851879,54.072399,4.000000,99.506265,222.400000,8.087429,0.000000
300.000000,0.692020,19.893399,99.771965,20.924728,61.748111,99.813719,99.721906,50.516728,4.000000,99.586109,215.200000,10.667422,0.000000
280.000000,0.658845,21.658640,99.860507,19.476787,59.866202,99.917098,99.870309,56.511132,4.000000,99.777721,201.400000,7.276440,0.000000
240.000000,0.614065,21.694760,99.709054,18.771211,60.112712,99.855444,99.768652,57.334588,3.000000,99.564919,173.200000,5.559832,0.000000
230.000000,0.700005,20.277774,99.684513,20.097313,62.237777,99.734617,99.593290,52.299505,3.000000,99.419967,166.000000,8.750517,0.000000
290.000000,0.679426,21.469539,99.900486,19.804418,60.120803,99.921662,99.878900,55.685137,4.000000,99.822226,208.000000,8.058761,0.000000
310.000000,0.621179,19.993375,99.632746,16.526057,54.306189,99.972801,99.955043,55.425548,4.000000,99.605648,222.400000,10.000000,1.000000
270.000000,0.651765,18.632012,99.624244,18.567735,61.878304,99.825676,99.723178,49.759418,4.000000,99.450575,194.200000,5.056404,0.000000
250.000000,0.707928,17.613085,99.744949,18.879830,63.698107,99.711222,99.544570,46.936254,3.000000,99.456908,179.800000,5.827006,0.000000
270.000000,0.749778,20.406039,99.692395,19.674591,61.026849,99.898988,99.845310,53.080939,4.000000,99.591694,194.200000,7.749848,0.000000
310.000000,0.576559,20.082481,99.852614,19.031817,60.526642,99.878162,99.807936,53.056410,4.000000,99.730955,222.400000,6.199048,0.000000
220.000000,0.551484,18.733268,99.572828,16.564762,57.414874,99.726997,99.543656,52.027634,3.000000,99.300992,158.800000,10.000000,1.000000
310.000000,0.717067,20.580503,99.642968,20.172654,60.437909,99.920142,99.878691,52.938540,4.000000,99.563395,222.400000,8.927315,0.000000
310.000000,0.653950,20.045977,99.503897,20.199405,60.743485,99.865021,99.794156,51.526573,4.000000,99.369588,222.400000,8.989980,0.000000
310.000000,0.719915,15.572040,99.548550,16.581591,59.540835,99.862558,99.771198,43.667770,4.000000,99.411728,222.400000,10.000000,1.000000
190.000000,0.739803,21.637111,99.590589,19.234651,61.135882,99.737072,99.599067,56.584710,3.000000,99.328737,137.800000,6.692327,0.000000
240.000000,0.654832,21.816233,99.832486,20.498149,61.177877,99.780880,99.663546,55.696763,3.000000,99.613733,173.200000,9.685887,0.000000
300.000000,0.635341,18.982389,99.660303,19.369321,61.624410,99.834742,99.742905,49.846295,4.000000,99.495606,215.200000,7.017828,0.000000
290.000000,0.738653,19.758441,99.813692,19.396451,61.297507,99.913135,99.866237,51.833045,4.000000,99.726989,208.000000,7.083210,0.000000
300.000000,0.711603,21.116027,99.793414,20.368225,60.429854,99.913706,99.869113,54.113155,4.000000,99.707298,215.200000,9.384112,0.000000
280.000000,0.699175,17.021245,99.688796,18.752037,63.401226,99.742272,99.592645,45.536165,4.000000,99.431870,201.400000,5.512557,0.000000
270.000000,0.678066,21.844291,99.826606,19.679974,59.946982,99.910829,99.861332,56.717371,4.000000,99.737589,194.200000,7.762686,0.000000
220.000000,0.595144,20.328529,99.600738,16.562610,55.611723,99.859975,99.766999,56.251759,3.000000,99.461271,158.800000,10.000000,1.000000
260.000000,0.627783,17.816289,99.564113,16.511715,57.587292,99.867467,99.780243,49.657541,4.000000,99.432158,187.000000,10.000000,1.000000
260.000000,0.692632,20.675101,99.614739,20.775476,61.427462,99.785156,99.675193,52.489176,4.000000,99.400722,187.000000,10.325602,0.000000
290.000000,0.716750,18.394292,99.557430,18.708302,61.791434,99.883454,99.817320,48.984402,4.000000,99.441400,208.000000,5.404598,0.000000
210.000000,0.728075,21.568236,99.648398,18.964053,60.770983,99.836616,99.746666,56.757543,3.000000,99.485589,151.600000,6.033430,0.000000
310.000000,0.591395,21.316133,99.783822,18.602945,59.023111,99.938192,99.901355,56.612895,4.000000,99.722148,222.400000,5.143797,0.000000
310.000000,0.601501,21.529035,99.628351,18.753806,58.729824,99.942143,99.907913,56.889915,4.000000,99.570709,222.400000,5.516921,0.000000
250.000000,0.697480,19.931735,99.940141,18.966397,61.943767,99.854782,99.773243,52.793462,3.000000,99.795010,179.800000,6.039165,0.000000
320.000000,0.640900,20.014147,99.509780,20.669062,60.857203,99.835399,99.751875,50.948898,4.000000,99.345986,229.600000,10.080843,0.000000
190.000000,0.653258,21.981446,99.780569,18.547596,60.644143,99.755648,99.612942,58.364064,3.000000,99.536753,137.800000,5.006369,0.000000
300.000000,0.702380,17.456525,99.902010,19.129589,63.209331,99.795891,99.682739,46.378372,4.000000,99.698101,215.200000,6.437281,0.000000
270.000000,0.663626,21.580052,99.629392,19.872054,60.027961,99.886839,99.824350,55.729234,4.000000,99.516650,194.200000,8.219133,0.000000
270.000000,0.748635,20.162625,99.724874,16.608291,54.908497,99.977626,99.963274,55.833443,4.000000,99.702562,194.200000,10.000000,1.000000
230.000000,0.734910,20.932987,99.609365,20.127037,61.594925,99.795251,99.689188,53.836091,3.000000,99.405416,166.000000,8.820323,0.000000
290.000000,0.636852,21.031547,99.830993,20.715016,60.898498,99.830065,99.741690,53.536265,4.000000,99.661345,208.000000,10.186647,0.000000
310.000000,0.556129,19.391255,99.938011,18.869852,61.175873,99.836386,99.741061,51.530198,4.000000,99.774498,222.400000,5.802508,0.000000
280.000000,0.697338,19.696428,99.603322,19.282925,61.157796,99.884316,99.820049,51.689273,4.000000,99.488097,201.400000,6.809191,0.000000
290.000000,0.710350,20.072702,99.531315,19.995800,60.967933,99.883307,99.821778,51.824869,4.000000,99.415168,208.000000,8.511567,0.000000
230.000000,0.584106,17.618215,99.585386,16.554493,58.557631,99.726244,99.542507,49.103880,3.000000,99.312765,166.000000,10.000000,1.000000
300.000000,0.602104,21.997284,99.789822,18.859780,58.756268,99.940414,99.905128,58.041522,4.000000,99.730361,215.200000,5.777768,0.000000
310.000000,0.696689,17.433410,99.811201,18.948673,62.858905,99.823934,99.725528,46.449010,4.000000,99.635467,222.400000,5.995783,0.000000
300.000000,0.561338,19.765836,99.875666,19.970630,61.534324,99.756915,99.622988,51.273603,4.000000,99.632884,215.200000,8.452189,0.000000
310.000000,0.611883,20.669973,99.590838,19.592837,59.977655,99.895918,99.838039,53.771079,4.000000,99.487182,222.400000,7.554590,0.000000
250.000000,0.652837,20.335662,99.642872,20.210391,61.886517,99.748841,99.612590,52.296803,3.000000,99.392610,179.800000,9.015699,0.000000
260.000000,0.551853,21.273304,99.651101,20.248732,60.705443,99.707003,99.542483,54.556042,4.000000,99.359126,187.000000,9.105376,0.000000
310.000000,0.732599,16.856223,99.514547,19.030061,63.040147,99.789874,99.672945,44.786634,4.000000,99.305441,222.400000,6.194760,0.000000
310.000000,0.709602,17.513771,99.909437,18.803387,62.831613,99.849923,99.765810,46.835426,4.000000,99.759497,222.400000,5.639091,0.000000
270.000000,0.742412,20.612776,99.578678,18.807527,60.176971,99.937939,99.902714,54.489586,4.000000,99.516878,194.200000,5.649279,0.000000
290.000000,0.717166,19.656282,99.691634,18.681373,60.797037,99.931626,99.892549,52.270652,4.000000,99.623471,208.000000,5.338036,0.000000
270.000000,0.730629,18.449099,99.744869,19.577146,62.780600,99.791620,99.679491,48.350521,4.000000,99.537020,194.200000,7.517050,0.000000
260.000000,0.634750,20.968476,99.920891,18.913551,60.550898,99.879060,99.808360,55.457187,4.000000,99.800047,187.000000,5.909730,0.000000
230.000000,0.686214,19.614786,99.884059,19.425463,62.718823,99.738478,99.593691,51.480010,3.000000,99.622840,166.000000,7.153057,0.000000
290.000000,0.691815,21.898977,99.879536,20.250372,59.962796,99.920778,99.878814,56.215212,4.000000,99.800410,208.000000,9.109210,0.000000
270.000000,0.614318,21.537189,99.827340,20.553621,60.695604,99.803439,99.697756,54.948861,4.000000,99.631119,194.200000,9.814326,0.000000
210.000000,0.571593,21.931122,99.610258,18.562479,60.144674,99.745536,99.587986,58.119379,3.000000,99.356785,151.600000,5.043351,0.000000
280.000000,0.584321,21.342610,99.552413,20.593948,60.354906,99.782726,99.665750,54.278505,4.000000,99.336111,201.400000,9.907547,0.000000
310.000000,0.655962,20.486278,99.946635,20.594598,61.142003,99.859763,99.787939,52.404145,4.000000,99.806473,222.400000,9.909048,0.000000
210.000000,0.607813,20.831948,99.598792,18.570110,61.088605,99.737016,99.576877,55.318598,3.000000,99.336864,151.600000,5.062305,0.000000
280.000000,0.600798,21.343351,99.786370,18.554958,59.456074,99.913727,99.861865,56.738404,4.000000,99.700281,201.400000,5.024665,0.000000
250.000000,0.715351,19.683472,99.581676,16.507540,55.823651,99.953873,99.924039,54.599292,3.000000,99.535741,179.800000,10.000000,1.000000
230.000000,0.690290,21.355343,99.580085,18.986861,60.543132,99.866076,99.789157,56.157527,3.000000,99.446724,166.000000,6.089220,0.000000
310.000000,0.714084,18.880822,99.644068,19.529717,61.622959,99.885561,99.824434,49.421988,4.000000,99.530036,222.400000,7.403448,0.000000
280.000000,0.736540,21.309054,99.859778,19.688814,60.295105,99.931605,99.895026,55.396810,4.000000,99.791479,201.400000,7.783760,0.000000
240.000000,0.736145,20.143267,99.797199,20.103416,62.343963,99.780963,99.668478,52.021050,3.000000,99.578606,173.200000,8.764854,0.000000
280.000000,0.591675,18.870681,99.547469,18.992574,61.665504,99.772276,99.639853,49.893804,4.000000,99.320775,201.400000,6.103187,0.000000
250.000000,0.641523,21.699894,99.748989,19.301075,60.346080,99.869286,99.793798,56.754763,3.000000,99.618603,179.800000,6.853075,0.000000
270.000000,0.716443,18.742695,99.831535,18.707563,62.139845,99.865806,99.789373,50.002405,4.000000,99.697567,194.200000,5.402772,0.000000
270.000000,0.580664,19.258356,99.569537,19.469457,61.777105,99.715766,99.553057,50.385132,4.000000,99.286527,194.200000,7.258832,0.000000
250.000000,0.648814,18.434530,99.818267,18.665808,62.934741,99.748597,99.600016,49.257003,3.000000,99.567321,179.800000,5.299531,0.000000
240.000000,0.740918,20.515986,99.608563,16.558476,55.067499,99.961605,99.937046,56.755243,3.000000,99.570319,173.200000,10.000000,1.000000
230.000000,0.600448,20.725530,99.674879,18.920188,61.180633,99.762889,99.621186,54.701483,3.000000,99.438539,166.000000,5.926000,0.000000
260.000000,0.565680,21.224105,99.676800,18.720588,59.877306,99.842103,99.746801,56.185012,4.000000,99.519414,187.000000,5.434945,0.000000
310.000000,0.745794,21.491457,99.810185,19.043139,59.191392,99.974855,99.960687,56.565161,4.000000,99.785088,222.400000,6.226680,0.000000
270.000000,0.552889,18.939683,99.877604,18.855069,62.124565,99.709419,99.536282,50.373706,4.000000,99.587379,194.200000,5.766195,0.000000
210.000000,0.728180,20.423965,99.613547,16.573565,55.686796,99.914982,99.861222,56.498523,3.000000,99.528858,151.600000,10.000000,1.000000
280.000000,0.572942,20.594135,99.830041,19.409118,60.736159,99.819461,99.715707,53.914575,4.000000,99.649809,201.400000,7.113714,0.000000
320.000000,0.573414,19.163990,99.761489,19.793612,61.515751,99.787899,99.671894,49.913016,4.000000,99.549893,229.600000,8.033102,0.000000
260.000000,0.631731,20.184394,99.683262,18.744670,60.829313,99.855954,99.770975,53.533848,4.000000,99.539673,187.000000,5.494383,0.000000
220.000000,0.730579,20.887539,99.817127,18.713088,61.251860,99.852233,99.770368,55.420455,3.000000,99.669630,158.800000,5.416421,0.000000
310.000000,0.739221,20.761193,99.750574,19.112508,59.818627,99.963711,99.943492,54.618618,4.000000,99.714375,222.400000,6.395723,0.000000
280.000000,0.715518,21.831284,99.755423,20.476293,60.132855,99.906413,99.857962,55.715967,4.000000,99.662065,201.400000,9.635216,0.000000
240.000000,0.586320,21.822389,99.751726,20.333554,60.984647,99.719766,99.563003,55.858553,3.000000,99.472188,173.200000,9.303356,0.000000
280.000000,0.608545,18.331842,99.616148,19.317177,62.427654,99.713244,99.549606,48.253617,4.000000,99.330493,201.400000,6.891984,0.000000
260.000000,0.739472,20.642915,99.667621,19.530913,60.871834,99.894659,99.837757,53.813792,4.000000,99.562630,187.000000,7.406314,0.000000
260.000000,0.702707,21.811922,99.803258,20.500875,60.565677,99.865940,99.796463,55.666761,4.000000,99.669463,187.000000,9.692204,0.000000
320.000000,0.740158,19.611957,99.748617,19.639170,61.002136,99.931305,99.895118,51.177975,4.000000,99.680094,229.600000,7.665320,0.000000
280.000000,0.607696,19.242643,99.895663,19.407394,62.029545,99.778685,99.653465,50.575285,4.000000,99.674578,201.400000,7.109562,0.000000
300.000000,0.621599,18.447501,99.710709,20.147072,62.577046,99.701415,99.541835,47.763962,4.000000,99.412988,215.200000,8.867335,0.000000
310.000000,0.608883,19.542348,99.807440,20.424933,61.710730,99.778438,99.662554,50.210246,4.000000,99.586304,222.400000,9.515993,0.000000
320.000000,0.748589,21.133645,99.816246,19.037066,59.355863,99.976349,99.963086,55.675541,4.000000,99.792639,229.600000,6.211860,0.000000
290.000000,0.745049,18.818485,99.707383,18.705294,61.599421,99.913824,99.865286,50.134239,4.000000,99.621459,208.000000,5.397165,0.000000
290.000000,0.631025,21.285508,99.503646,20.591933,60.183110,99.844977,99.763183,54.115551,4.000000,99.349392,208.000000,9.902891,0.000000
290.000000,0.706979,20.265505,99.744692,20.337056,61.257553,99.868771,99.801165,52.040554,4.000000,99.613798,208.000000,9.311515,0.000000
270.000000,0.711857,18.534217,99.656303,19.135195,62.347621,99.822966,99.724173,48.960115,4.000000,99.479878,194.200000,6.450915,0.000000
240.000000,0.637175,21.971386,99.761633,18.623853,59.835335,99.889269,99.822777,58.237589,3.000000,99.651166,173.200000,5.195633,0.000000
310.000000,0.643364,20.596629,99.837166,19.790466,60.477986,99.901514,99.847878,53.503333,4.000000,99.738840,222.400000,8.025631,0.000000
300.000000,0.674760,20.732199,99.754184,19.879758,60.457389,99.906821,99.856529,53.695298,4.000000,99.661234,215.200000,8.237378,0.000000
320.000000,0.698014,17.838097,99.560760,18.815611,61.919100,99.877233,99.808601,47.477801,4.000000,99.438531,229.600000,5.669175,0.000000
240.000000,0.686048,19.437465,99.656398,18.698306,61.982429,99.821556,99.717735,51.680934,3.000000,99.478568,173.200000,5.379897,0.000000
310.000000,0.639309,20.404468,99.801717,19.602952,60.499352,99.902103,99.848203,53.213654,4.000000,99.704015,222.400000,7.578781,0.000000
240.000000,0.638724,19.995200,99.586352,18.910955,61.532446,99.794167,99.673197,52.825588,3.000000,99.381371,173.200000,5.903365,0.000000
270.000000,0.663390,21.966242,99.866959,19.148387,59.570874,99.926647,99.884360,57.668218,4.000000,99.793703,194.200000,6.482986,0.000000
250.000000,0.666482,21.792345,99.571284,19.885608,60.370324,99.860256,99.782816,56.204625,3.000000,99.432139,179.800000,8.251227,0.000000
250.000000,0.744160,19.899946,99.805485,18.996720,61.809398,99.875808,99.807253,52.609790,3.000000,99.681534,179.800000,6.113322,0.000000
290.000000,0.725497,19.512915,99.582089,19.853062,61.456158,99.874046,99.807687,50.623218,4.000000,99.456661,208.000000,8.174139,0.000000
310.000000,0.650253,20.926863,99.558834,16.536650,53.107700,99.985266,99.975602,57.835066,4.000000,99.544164,222.400000,10.000000,1.000000
250.000000,0.569600,20.726978,99.940287,18.600257,61.008347,99.807491,99.690684,55.207720,3.000000,99.747892,179.800000,5.137128,0.000000
310.000000,0.718166,16.337839,99.653047,16.522532,58.722784,99.916152,99.861698,45.786911,4.000000,99.569490,222.400000,10.000000,1.000000
240.000000,0.671130,18.250026,99.506138,18.564630,62.757052,99.736491,99.579861,48.736452,3.000000,99.243931,173.200000,5.048693,0.000000
280.000000,0.646195,15.327658,99.526020,16.512997,60.207139,99.718329,99.522375,43.072289,4.000000,99.245684,201.400000,10.000000,1.000000
250.000000,0.714260,21.421334,99.790236,19.353659,60.671228,99.900103,99.844984,56.021156,3.000000,99.690549,179.800000,6.980053,0.000000
300.000000,0.614672,20.707234,99.678982,19.478452,60.157828,99.889910,99.828006,54.038046,4.000000,99.569246,215.200000,7.280439,0.000000
