"Dominio.Aerador: Sauter Mean Diameter of Ar (mm)","Dominio.Aerador: Percent of Volume Fraction of Ar"
0.1,8.610910240210078
0.30000000000000004,8.405748755355495
0.5,8.754325498827754
0.7000000000000001,13.788189450912233
0.9,14.23382077497765
1.1,18.783634627549407
1.3000000000000003,4.7790410424631595
1.5,3.007501745308472
1.7000000000000002,1.9877821927300563
1.9,1.6551266688822233
2.1,1.4085024169833156
2.3000000000000003,1.3660141038410005
2.5,1.368583341994223
2.7,1.2877761245205548
2.9000000000000004,1.0190771550318656
3.1,0.9530541887194647
3.3000000000000003,1.0033528983862015
3.5,1.072418763039275
3.7,1.133137550476902
3.9000000000000004,0.9994222192598712
4.1,0.9649911397400056
4.300000000000001,0.9302304545890593
4.5,0.8379507946209341
4.700000000000001,0.8439023069604504
4.9,0.8055055446203575
