Design#,Name,MW_gas,mu_gas,mdot_gas,mdot_inj,d_particulas,T_gas
1,A_100_2um,130.5939,1.100000e-05,0.505556,0.0027778,2.0e-06,673.15
2,B_100_2um,83.9532,1.400000e-05,0.505556,0.0027778,2.0e-06,673.15
3,C_100_2um,51.3047,1.700000e-05,0.505556,0.0027778,2.0e-06,673.15
4,A_050_2um,130.5939,1.100000e-05,0.252778,0.0013889,2.0e-06,673.15
5,B_050_2um,83.9532,1.400000e-05,0.252778,0.0013889,2.0e-06,673.15
6,C_050_2um,51.3047,1.700000e-05,0.252778,0.0013889,2.0e-06,673.15
7,canto_100_2um,130.5939,1.700000e-05,0.505556,0.0027778,2.0e-06,673.15
8,A_100_1um,130.5939,1.100000e-05,0.505556,0.0027778,1.0e-06,673.15
9,B_100_1um,83.9532,1.400000e-05,0.505556,0.0027778,1.0e-06,673.15
10,C_100_1um,51.3047,1.700000e-05,0.505556,0.0027778,1.0e-06,673.15
11,A_050_1um,130.5939,1.100000e-05,0.252778,0.0013889,1.0e-06,673.15
12,B_050_1um,83.9532,1.400000e-05,0.252778,0.0013889,1.0e-06,673.15
13,C_050_1um,51.3047,1.700000e-05,0.252778,0.0013889,1.0e-06,673.15
14,canto_100_1um,130.5939,1.700000e-05,0.505556,0.0027778,1.0e-06,673.15
